Kindly specify your Gender?,Kindly mention your age?,How many members are in your family?,Please specify where are you currently living?,Please mention your parents status?,Kindly tell us about your guardian.,Kindly select your father's education from these options.,Kindly select your mother's education from these options.,Please select your father/guardian monthly Income from these options.,"If you are self-supporting then please specify e.g. Freelancing, Teaching, part-time job, etc.",Please select your monthly Income ?,Please enter your Subjects GPA which you have studied? (SE) [Introduction to Software Engineering (ISE)],Please enter your Subjects GPA which you have studied? (SE) [Formal Methods],Please enter your Subjects GPA which you have studied? (SE) [Software Requirement Engineering],Please enter your Subjects GPA which you have studied? (SE) [Software Design and Architecture],Please enter your Subjects GPA which you have studied? (SE) [Software Project Management],Please enter your Subjects GPA which you have studied? (SE) [Software Quality Engineering],Please enter your Subjects GPA which you have studied? (SE) [Software Testing],Please enter your Subjects GPA which you have studied? (SE) [Design Patterns],Please enter your Subjects GPA which you have studied? (SE) [Software Construction],Please enter your Subjects GPA which you have studied? (CS) [Introduction to ICT],Please enter your Subjects GPA which you have studied? (CS) [Programming Fundamentals C],Please enter your Subjects GPA which you have studied? (CS) [Discrete Structures],Please enter your Subjects GPA which you have studied? (CS) [Professional Practices of IT (PPIT)],Please enter your Subjects GPA which you have studied? (CS) [Object Oriented Programming],Please enter your Subjects GPA which you have studied? (CS) [Data Structures and Algorithms (DSA)],Please enter your Subjects GPA which you have studied? (CS) [Software Engineering Concepts],Please enter your Subjects GPA which you have studied? (CS) [Microprocessor and Assembly Language],Please enter your Subjects GPA which you have studied? (CS) [Database Systems ],Please enter your Subjects GPA which you have studied? (CS) [Digital image processing (DIP)],Please enter your Subjects GPA which you have studied? (CS) [Design and Analysis of Algorithm Semantic Web],Please enter your Subjects GPA which you have studied? (CS) [Operating Systems (OS)],Please enter your Subjects GPA which you have studied? (CS) [Computer Communication and Networks (CCN)],Please enter your Subjects GPA which you have studied? (CS) [Computer Graphics],Please enter your Subjects GPA which you have studied? (CS) [Numerical Computing],Please enter your Subjects GPA which you have studied? (CS) [Web Technologies],Please enter your Subjects GPA which you have studied? (CS) [Human Computer Interaction (HCI)],Please enter your Subjects GPA which you have studied? (CS) [Game Development],Please enter your Subjects GPA which you have studied? (CS) [Theory of Automata],Please enter your Subjects GPA which you have studied? (CS) [Introduction to Data Science],Please enter your Subjects GPA which you have studied? (CS) [Mobile Application Development],Please enter your Subjects GPA which you have studied? (CS) [Artificial Intelligence],Please enter your Subjects GPA which you have studied? (CS) [Processor and Assembly Language],Please enter your Subjects GPA which you have studied? (CS) [Compiler Construction],Please enter your Subjects GPA which you have studied? (CS) [Machine Learning],Please enter your Subjects GPA which you have studied? (CS) [Information Security],Please enter your Subjects GPA which you have studied? (CS) [Software Process Improvement],Please enter your Subjects GPA which you have studied? (CS) [Computer Vision],Please enter your Subjects GPA which you have studied? (CS) [Data Security and Encryption],Please mention your Previous Semester GPA?,Your matric marks percentage?,Did you get any scholarship from school? ,What you did previously in intermediate?,Your Fsc/Ics marks percentage?,Are you getting scholarship from College?,Please mention your NTS score?,Please mention what's your program? ,Please choose your reasons to select this program.,How much you have interest in this domain,Are you satisfied with your program selection?,Kindly choose your current semester.,Please provide your current CGPA?,Are you getting scholarship from university?,Are you paying your fees?,Please specify your mode of study?,Do you find your CS/SE subjects difficult?,Do you love your subjects?,Do you have any certificate or diploma in a specific subject? Kindly mention the subject if you have any.,"Kindly tell us, how often do you visit library?","Please choose, what do you prefer in studies?",Do you borrow a book from Library?,"Do you take help from online lectures or tutorials outside university resources? e.g. YouTube, Udemy, Coursera","Please select, how much time you spend on study in a day?",Please select  which days you self-study in a week?,How is your health,"Kindly specify, do you have any disability?","Please select, how much free time do you have per day?",Do you like your teacher methodology,"Please select, how much time do you go out with friend and family?",How much it takes time to reach university?,"Kindly select, how much time you spend on physical exercise e.g., gym, sports, running etc. ?",Kindly specify do you love travelling?,Where you love to eat?,Do you love to participate in co-curricular activities in university?,Do you love to study in a group?,Do you love reading books?,Do you love to socialize with other?,Kindly select which activities you prefer in your spare time?,"Please select, how much time do you spend in the above activity in a day.",What is the quality of relationships among your family members?,Do you have internet access easily?,Please select your learning speed?,Kindly tell us does your family supports you in education?,Do you feel any risk of failing to Graduate in your degree?,"Please specify, what do you think abilities you have ? [Self-Discipline]","Please specify, what do you think abilities you have ? [Hard Working]","Please specify, what do you think abilities you have ? [Punctual]","Please specify, what do you think abilities you have ? [Polite]","Please specify, what do you think abilities you have ? [Team Player]","Please specify, what do you think abilities you have ? [Confident]","Please specify, what do you think abilities you have ? [Responsible]",Do you think getting good grades are important?,Please fill the form. [Do you take nutritions.],Please fill the form. [Do you love sports?],Please fill the form. [Do you value and have confidence of your opinions?],Please fill the form. [Do you take enough sleep? (7-8 hours)],Please fill the form. [Do you do self-directed learning?],Please fill the form. [Do you have depression of study?],Please fill the form. [Do you have believe that you will be succeed in semester in which you are studying.],Please fill the form. [Are atmospheric conditions such as high temperature and humidity tend you to lower mental efficiency.],Please fill the form. [Do you do planning for study?],Please fill the form. [how often you are regular in doing same thing? (any task)]
Male,19,5,Own House,Other,Father,Graduation,Graduation,Between 75k to 100k,Freelancing,Between 10k to 25k,2.7(C),2.3(C -),2.7(C),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,3(B -),2.3(C -),2(D),Didn't studied yet,2.3(C -),3.3(B),Didn't studied yet,Didn't studied yet,3(B -),Didn't studied yet,Didn't studied yet,Didn't studied yet,1.3(E),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,2(D),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,2.6,90,Yes,ICS (Physics),70,Yes,70,Software Engineering,Personal Interests,4,4,6 Semester,2.6,No,Yes,Full-time,3,3,No certificate,Sometimes,Physical mode,Never,Always,Between 1 to 2 hours,"Before Quiz, Before Exam Day, Saturday",3,No,Between 2 to 3 hours,3,Less than 1 hour,Less than 20 minutes,Less,4,Outside,Rarely,Rarely,3,Sometimes,Watching Movies | Daramas,Between 2 to 3 hours,Good,Always,Good,Always,Never,Moderate,Moderate,Moderate,Extremely,Extremely,Extremely,Extremely,Moderately important,Sometimes,Always,Always,Rarely,Always,Often,Always,Often,Always,Often
Female,19,3,Own House,Together,Both Mother & Father,Graduation,Graduation,Between 50k to 75k,Freelancing,Between 10k to 25k,3(B -),Didn't studied yet,2.3(C -),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,2.7(C),3(B -),1.3(E),Didn't studied yet,2.7(C),2(D),Didn't studied yet,Didn't studied yet,4(A),Didn't studied yet,Didn't studied yet,Didn't studied yet,4(A),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,1.7(D),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,2.8,89,Yes,FSC (Pre-engineering),83,Yes,72,Software Engineering,Personal Interests,5,5,6 Semester,2.5,No,Yes,Full-time,3,3,Website development,Sometimes,Physical mode,Rarely,Often,Less than 1 hour,Before Quiz,4,No,Between 6 to 7 hours,3,Between 2 to 3 hours,Less than 50 minutes,Less,5,Outside,Sometimes,Often,4,Often,Book reading,Less than 1 hour,Poor,Always,Fair,Always,Sometimes,Moderate,Very less,Moderate,Less,Moderate,Moderate,Very less,Very Important,Sometimes,Often,Always,Often,Often,Often,Often,Always,Often,Often
Female,19,5,Own House,Together,Both Mother & Father,Graduation,Graduation,Between 100k to 150k,,Don't do freelancing,3(B -),2 (D),3(B -),2.7(C),3(B -),3(B -),3(B -),3(B -),3(B -),3.3(B),3.3(B),2.7(C),3.3(B),3.3(B),2.7(C),3.3(B),2(D),2.7(C),2(D),2(D),2.3(C -),1.3(E),3(B -),2(D),3.3(B),2.3(C -),3.3(B),2(D),1.7(D),3.3(B),1.7(D),1.7(D),1.7(D),1.7(D),3.3(B),2.7(C),1.7(D),2(D),2.69,91,No,ICS (Physics),83,No,82,Software Engineering,"Personal Interests, Field has large scope in future",4,4,6 Semester,2.62,No,Yes,Full-time,4,4,No certificate,Often,Physical mode,Sometimes,Always,Between 7 to 8 hours,"Before Quiz, Before Exam Day",3,No,Between 9 to 10 hours,2,Between 2 to 3 hours,Less than 50 minutes,Moderate,5,Outside,Sometimes,Sometimes,5,Sometimes,Book reading,Between 1 to 2 hours,Excellent,Always,Good,Always,Sometimes,Extremely,Moderate,Extremely,Extremely,Extremely,Extremely,Extremely,Very Important,Always,Sometimes,Always,Sometimes,Always,Always,Often,Sometimes,Always,Always
Male,23,6,Own House,Together,Both Mother & Father,Graduation,Matric,Between 50k to 75k,Student,Between 100k to 150k,2.7(C),2.7(C),1.3(E),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,3.3(B),3.3(B),2.7(C),Didn't studied yet,3.3(B),1.3(E),Didn't studied yet,Didn't studied yet,2.3(C -),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,1.7(D),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,2.4,92.17,Yes,FSC (Pre-engineering),70,Yes,72,Software Engineering,Field has large scope in future,4,4,6 Semester,2.67,No,Yes,Part-time,5,4,No certificate,Rarely,Physical mode,Never,Always,Between 1 to 2 hours,Before Quiz,4,No,Between 7 to 8 hours,1,Between 5 to 6 hours,Less than 20 minutes,Moderate,5,Outside,Sometimes,Always,3,Always,Watching Movies | Daramas,Between 3 to 4 hours,Good,Always,Good,Always,Sometimes,Moderate,Moderate,Moderate,Extremely,Moderate,Moderate,Moderate,Moderately important,Sometimes,Always,Often,Always,Often,Always,Always,Never,Always,Often
Male,21,6,Rented House,Together,Both Mother & Father,Graduation,Matric,Between 150k to 200k,,Don't do freelancing,2.7(C),2.3(C -),4(A),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,3(B -),1.7(D),2.7(C),Didn't studied yet,2.7(C),2.7(C),Didn't studied yet,Didn't studied yet,3.3(B),Didn't studied yet,Didn't studied yet,3(B -),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,3(B -),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,3.1,89,No,FSC (Pre-engineering),80,Yes,68,Software Engineering,Field has large scope in future,4,4,6 Semester,3,No,Yes,Part-time,3,3,No certificate,Never,Physical mode,Never,Always,Between 1 to 2 hours,Before Quiz,5,No,Between 5 to 6 hours,3,Between 1 to 2 hours,Less than 20 minutes,Less,4,Home,Always,Sometimes,1,Sometimes,Watching Movies | Daramas,Less than 1 hour,Excellent,Always,Good,Always,Rarely,Extremely,Moderate,Extremely,Moderate,Extremely,Moderate,Extremely,Slightly important,Often,Always,Always,Always,Always,Rarely,Always,Often,Rarely,Often
Male,22,5,Others,Together,Both Mother & Father,Intermediate,Intermediate,Between 75k to 100k,,Don't do freelancing,3(B -),2 (D),2.7(C),3(B -),3(B -),3(B -),2.3(C -),2.7(C),3(B -),3.7(A -),3.7(A -),3.3(B),3.7(A -),3(B -),3.7(A -),3.3(B),3(B -),3.7(A -),3.3(B),3(B -),3(B -),3(B -),3(B -),3.3(B),3(B -),3.3(B),3(B -),2.7(C),3.3(B),3(B -),3(B -),3(B -),3.3(B),3(B -),3.3(B),3.3(B),3.3(B),2.7(C),2.6,81,Yes,ICS (Physics),79,No,84,Software Engineering,Personal Interests,4,2,6 Semester,2.69,No,Yes,Part-time,3,2,No certificate,Sometimes,Online mode,Sometimes,Always,Between 3 to 4 hours,"Before Quiz, Before Exam Day, Saturday",3,No,Between 6 to 7 hours,1,Between 3 to 4 hours,Less than 20 minutes,Moderate,3,Home,Sometimes,Rarely,4,Often,Physical games,Between 1 to 2 hours,Good,Always,Good,Always,Rarely,Moderate,Moderate,Extremely,Extremely,Extremely,Moderate,Less,Slightly important,Rarely,Always,Always,Rarely,Sometimes,Always,Often,Sometimes,Always,Often
Male,22,5,Own House,Other,Father,Graduation,Matric,Between 50k to 75k,,Don't do freelancing,4(A),4(A),4(A),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,3.7(A -),4(A),3.3(B),Didn't studied yet,3.7(A -),3.7(A -),4(A),Didn't studied yet,4(A),Didn't studied yet,Didn't studied yet,4(A),3.3(B),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,3.7(A -),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,3.72,87,No,FSC (Pre-engineering),83,No,69,Software Engineering,"Personal Interests, Field has large scope in future",5,5,6 Semester,3.68,Yes,"No, On Scholar Ship",Full-time,1,5,Website development,Never,Physical mode,Never,Always,Between 1 to 2 hours,Every Day,4,No,Between 5 to 6 hours,3,Between 3 to 4 hours,Less than 30 minutes,Moderate,4,Outside,Often,Sometimes,3,Sometimes,"Music, Instruments, movies, spending time with friends, physical games",Between 5 to 6 hours,Good,Always,Excellent,Always,Never,Extremely,Extremely,Moderate,Extremely,Moderate,Extremely,Extremely,Very Important,Rarely,Often,Always,Often,Always,Never,Always,Often,Often,Often
Female,21,4,Own House,Together,Both Mother & Father,Master,PHD,Between 150k to 200k,,Don't do freelancing,3.3(B),3.7(A -),3(B -),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,3.3(B),3(B -),2.7(C),Didn't studied yet,3.3(B),2.3(C -),Didn't studied yet,Didn't studied yet,3(B -),Didn't studied yet,Didn't studied yet,2.3(C -),2.3(C -),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,2.7,87,No,ICS (Physics),65,Yes,78,Software Engineering,"Personal Interests, Field has large scope in future",5,5,6 Semester,3.1,No,Yes,Full-time,4,3,"Language ( C, C++, java, javascript, python, Data structures)",Often,Physical mode,Always,Always,Between 3 to 4 hours,Every Day,5,No,Between 6 to 7 hours,5,Less than 1 hour,Less than 20 minutes,Moderate,2,Outside,Often,Always,4,Sometimes,Spend time with friends,Less than 1 hour,Excellent,Always,Fair,Always,Never,Moderate,Moderate,Moderate,Less,Very less,Less,Extremely,Very Important,Never,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Sometimes
Female,20,6,Rented House,Together,Both Mother & Father,Diploma,Matric,Between 250k to 300k,Freelancing,Less than 10k,3.3(B),2.7(C),3(B -),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,3.7(A -),3.3(B),2.7(C),Didn't studied yet,2.3(C -),1.3(E),Didn't studied yet,Didn't studied yet,3(B -),Didn't studied yet,Didn't studied yet,2.3(C -),2.7(C),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,2.7(C),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,3.1,79,No,ICS (Physics),84,No,70,Software Engineering,Personal Interests,5,5,6 Semester,2.8,No,Yes,Full-time,3,3,"Language ( C, C++, java, javascript, python, Data structures)",Rarely,Online mode,Rarely,Always,More than 10 hours,"Before Quiz, Before Exam Day, Every Day, Saturday, Sunday, Friday, Thursday, Wednesday, Tuesday, Monday",1,No,Between 1 to 2 hours,3,Between 1 to 2 hours,Less than 40 minutes,Moderate,5,Home,Sometimes,Never,5,Always,Book reading,Less than 1 hour,Excellent,Always,Good,Always,Never,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very Important,Often,Sometimes,Never,Never,Always,Always,Always,Often,Always,Often
Male,20,6,Rented House,Divorced,Mother,Intermediate,Master,Father don't do any job,,Don't do freelancing,2 (D),2 (D),3(B -),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,1.7(D),1.7(D),1.7(D),Didn't studied yet,3.3(B),2.3(C -),Didn't studied yet,Didn't studied yet,2.3(C -),Didn't studied yet,Didn't studied yet,Didn't studied yet,1.3(E),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,2.7(C),Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,Didn't studied yet,2.42,92,No,FSC (Pre-engineering),599,No,81,Software Engineering,Field has large scope in future,4,4,6 Semester,2.48,No,"No, Need Based Loan",Full-time,3,3,No certificate,Sometimes,Physical mode,Rarely,Often,Between 1 to 2 hours,"Before Exam Day, Sunday",2,No,Between 4 to 5 hours,3,Between 1 to 2 hours,Less than 30 minutes,Less,1,Home,Sometimes,Rarely,4,Often,Watching Movies | Daramas,Between 1 to 2 hours,Fair,Often,Good,Always,Sometimes,Less,Moderate,Moderate,Extremely,Extremely,Very less,Extremely,Moderately important,Never,Often,Often,Rarely,Often,Sometimes,Always,Always,Sometimes,Sometimes
